Time,PV(W),Grid(W),Load(W)
2025-01-03 00:00:00,0,0,0
2025-01-03 00:05:00,0,0,0
2025-01-03 00:10:00,0,0,0
2025-01-03 00:15:00,0,0,0
2025-01-03 00:20:00,0,0,0
2025-01-03 00:25:00,0,0,0
2025-01-03 00:30:00,0,0,0
2025-01-03 00:35:00,0,0,0
2025-01-03 00:40:00,0,0,0
2025-01-03 00:45:00,0,0,0
2025-01-03 00:50:00,0,0,0
2025-01-03 00:55:00,0,0,0
2025-01-03 01:00:00,0,0,0
2025-01-03 01:05:00,0,0,0
2025-01-03 01:10:00,0,0,0
2025-01-03 01:15:00,0,0,0
2025-01-03 01:20:00,0,0,0
2025-01-03 01:25:00,0,0,0
2025-01-03 01:30:00,0,0,0
2025-01-03 01:35:00,0,0,0
2025-01-03 01:40:00,0,0,0
2025-01-03 01:45:00,0,0,0
2025-01-03 01:50:00,0,0,0
2025-01-03 01:55:00,0,0,0
2025-01-03 02:00:00,0,0,0
2025-01-03 02:05:00,0,0,0
2025-01-03 02:10:00,0,0,0
2025-01-03 02:15:00,0,0,0
2025-01-03 02:20:00,0,0,0
2025-01-03 02:25:00,0,0,0
2025-01-03 02:30:00,0,0,0
2025-01-03 02:35:00,0,0,0
2025-01-03 02:40:00,0,0,0
2025-01-03 02:45:00,0,0,0
2025-01-03 02:50:00,0,0,0
2025-01-03 02:55:00,0,0,0
2025-01-03 03:00:00,0,0,0
2025-01-03 03:05:00,0,0,0
2025-01-03 03:10:00,0,0,0
2025-01-03 03:15:00,0,0,0
2025-01-03 03:20:00,0,0,0
2025-01-03 03:25:00,0,0,0
2025-01-03 03:30:00,0,0,0
2025-01-03 03:35:00,0,0,0
2025-01-03 03:40:00,0,0,0
2025-01-03 03:45:00,0,0,0
2025-01-03 03:50:00,0,0,0
2025-01-03 03:55:00,0,0,0
2025-01-03 04:00:00,0,0,0
2025-01-03 04:05:00,0,0,0
2025-01-03 04:10:00,0,0,0
2025-01-03 04:15:00,0,0,0
2025-01-03 04:20:00,0,0,0
2025-01-03 04:25:00,0,0,0
2025-01-03 04:30:00,0,0,0
2025-01-03 04:35:00,0,0,0
2025-01-03 04:40:00,0,0,0
2025-01-03 04:45:00,0,0,0
2025-01-03 04:50:00,0,0,0
2025-01-03 04:55:00,0,0,0
2025-01-03 05:00:00,0,0,0
2025-01-03 05:05:00,0,0,0
2025-01-03 05:10:00,0,0,0
2025-01-03 05:15:00,0,0,0
2025-01-03 05:20:00,0,0,0
2025-01-03 05:25:00,0,0,0
2025-01-03 05:30:00,0,0,0
2025-01-03 05:35:00,0,0,0
2025-01-03 05:40:00,0,0,0
2025-01-03 05:45:00,0,0,0
2025-01-03 05:50:00,0,0,0
2025-01-03 05:55:00,0,0,0
2025-01-03 06:00:00,0,0,0
2025-01-03 06:05:00,0,0,0
2025-01-03 06:10:00,0,0,0
2025-01-03 06:15:00,0,0,0
2025-01-03 06:20:00,0,0,0
2025-01-03 06:25:00,0,0,0
2025-01-03 06:30:00,0,0,0
2025-01-03 06:35:00,0,0,0
2025-01-03 06:40:00,0,0,0
2025-01-03 06:45:00,0,0,0
2025-01-03 06:50:00,0,0,0
2025-01-03 06:55:00,0,0,0
2025-01-03 07:00:00,0,0,0
2025-01-03 07:05:00,0,0,0
2025-01-03 07:10:00,0,0,0
2025-01-03 07:15:00,0,0,0
2025-01-03 07:20:00,0,0,0
2025-01-03 07:25:00,0,0,0
2025-01-03 07:30:00,0,0,0
2025-01-03 07:35:00,379,7,386
2025-01-03 07:40:00,469,9,478
2025-01-03 07:45:00,636,13,649
2025-01-03 07:50:00,977,22,999
2025-01-03 07:55:00,1377,33,1410
2025-01-03 08:00:00,2003,50,2053
2025-01-03 08:05:00,3374,85,3459
2025-01-03 08:10:00,4683,118,4801
2025-01-03 08:15:00,4844,122,4966
2025-01-03 08:20:00,7446,188,7634
2025-01-03 08:25:00,8369,211,8580
2025-01-03 08:30:00,8425,212,8637
2025-01-03 08:35:00,9000,227,9227
2025-01-03 08:40:00,7427,186,7613
2025-01-03 08:45:00,7216,183,7399
2025-01-03 08:50:00,7369,184,7553
2025-01-03 08:55:00,7724,195,7919
2025-01-03 09:00:00,6298,159,6457
2025-01-03 09:05:00,6046,152,6198
2025-01-03 09:10:00,15422,389,15811
2025-01-03 09:15:00,4429,111,4540
2025-01-03 09:20:00,4928,124,5052
2025-01-03 09:25:00,2030,52,2082
2025-01-03 09:30:00,878,20,898
2025-01-03 09:35:00,926,21,947
2025-01-03 09:40:00,755,17,772
2025-01-03 09:45:00,621,13,634
2025-01-03 09:50:00,586,12,598
2025-01-03 09:55:00,499,10,509
2025-01-03 10:00:00,417,8,425
2025-01-03 10:05:00,834,18,852
2025-01-03 10:10:00,1158,27,1185
2025-01-03 10:15:00,771,18,789
2025-01-03 10:20:00,1339,32,1371
2025-01-03 10:25:00,1817,45,1862
2025-01-03 10:30:00,2096,52,2148
2025-01-03 10:35:00,2112,52,2164
2025-01-03 10:40:00,2520,63,2583
2025-01-03 10:45:00,2952,74,3026
2025-01-03 10:50:00,3906,95,4001
2025-01-03 10:55:00,5556,110,5666
2025-01-03 11:00:00,6538,152,6690
2025-01-03 11:05:00,8180,205,8385
2025-01-03 11:10:00,10110,254,10364
2025-01-03 11:15:00,14034,354,14388
2025-01-03 11:20:00,36840,918,37758
2025-01-03 11:25:00,40785,1021,41806
2025-01-03 11:30:00,18990,481,19471
2025-01-03 11:35:00,16990,426,17416
2025-01-03 11:40:00,13300,336,13636
2025-01-03 11:45:00,13028,328,13356
2025-01-03 11:50:00,13920,350,14270
2025-01-03 11:55:00,13849,348,14197
2025-01-03 12:00:00,13295,335,13630
2025-01-03 12:05:00,12789,322,13111
2025-01-03 12:10:00,13125,330,13455
2025-01-03 12:15:00,14259,359,14618
2025-01-03 12:20:00,16113,406,16519
2025-01-03 12:25:00,18598,469,19067
2025-01-03 12:30:00,19214,484,19698
2025-01-03 12:35:00,19998,506,20504
2025-01-03 12:40:00,20340,515,20855
2025-01-03 12:45:00,24248,615,24863
2025-01-03 12:50:00,22632,572,23204
2025-01-03 12:55:00,20962,530,21492
2025-01-03 13:00:00,24272,615,24887
2025-01-03 13:05:00,28362,708,29070
2025-01-03 13:10:00,22513,569,23082
2025-01-03 13:15:00,26314,665,26979
2025-01-03 13:20:00,27624,699,28323
2025-01-03 13:25:00,32154,814,32968
2025-01-03 13:30:00,41347,1044,42391
2025-01-03 13:35:00,38980,984,39964
2025-01-03 13:40:00,37452,945,38397
2025-01-03 13:45:00,37509,947,38456
2025-01-03 13:50:00,37040,936,37976
2025-01-03 13:55:00,37769,954,38723
2025-01-03 14:00:00,33823,855,34678
2025-01-03 14:05:00,32555,823,33378
2025-01-03 14:10:00,35517,894,36411
2025-01-03 14:15:00,27785,698,28483
2025-01-03 14:20:00,37557,948,38505
2025-01-03 14:25:00,9671,243,9914
2025-01-03 14:30:00,8497,213,8710
2025-01-03 14:35:00,11389,288,11677
2025-01-03 14:40:00,24628,626,25254
2025-01-03 14:45:00,35995,907,36902
2025-01-03 14:50:00,8497,213,8710
2025-01-03 14:55:00,37907,958,38865
2025-01-03 15:00:00,40641,1026,41667
2025-01-03 15:05:00,27206,684,27890
2025-01-03 15:10:00,13301,334,13635
2025-01-03 15:15:00,13493,339,13832
2025-01-03 15:20:00,17056,430,17486
2025-01-03 15:25:00,25106,633,25739
2025-01-03 15:30:00,32575,825,33400
2025-01-03 15:35:00,28582,723,29305
2025-01-03 15:40:00,22458,567,23025
2025-01-03 15:45:00,19727,498,20225
2025-01-03 15:50:00,16816,425,17241
2025-01-03 15:55:00,15925,402,16327
2025-01-03 16:00:00,10937,275,11212
2025-01-03 16:05:00,8003,202,8205
2025-01-03 16:10:00,6446,162,6608
2025-01-03 16:15:00,5674,143,5817
2025-01-03 16:20:00,4984,125,5109
2025-01-03 16:25:00,4362,109,4471
2025-01-03 16:30:00,3302,83,3385
2025-01-03 16:35:00,1760,43,1803
2025-01-03 16:40:00,832,19,851
2025-01-03 16:45:00,647,14,661
2025-01-03 16:50:00,949,21,970
2025-01-03 16:55:00,697,15,712
2025-01-03 17:00:00,237,3,240
2025-01-03 17:05:00,1760,43,1803
2025-01-03 17:10:00,1760,43,1803
2025-01-03 17:15:00,--,--,0
2025-01-03 17:20:00,--,--,0
2025-01-03 17:25:00,--,--,0
2025-01-03 17:30:00,--,--,0
2025-01-03 17:35:00,--,--,0
2025-01-03 17:40:00,--,--,0
2025-01-03 17:45:00,--,--,0
2025-01-03 17:50:00,--,--,0
2025-01-03 17:55:00,--,--,0
2025-01-03 18:00:00,--,--,0
2025-01-03 18:05:00,--,--,0
2025-01-03 18:10:00,--,--,0
2025-01-03 18:15:00,268,4,272
2025-01-03 18:20:00,248,3,251
2025-01-03 18:25:00,270,4,274
2025-01-03 18:30:00,274,4,278
2025-01-03 18:35:00,254,4,258
2025-01-03 18:40:00,250,4,254
2025-01-03 18:45:00,250,4,254
2025-01-03 18:50:00,251,4,255
2025-01-03 18:55:00,251,4,255
2025-01-03 19:00:00,0,0,0
2025-01-03 19:05:00,0,0,0
2025-01-03 19:10:00,0,0,0
2025-01-03 19:15:00,0,0,0
2025-01-03 19:20:00,0,0,0
2025-01-03 19:25:00,0,0,0
2025-01-03 19:30:00,0,0,0
2025-01-03 19:35:00,0,0,0
2025-01-03 19:40:00,0,0,0
