Time,PV(W),Grid(W),Load(W)
2025-02-07 00:00:00,--,--,0
2025-02-07 00:05:00,--,--,0
2025-02-07 00:10:00,--,--,0
2025-02-07 00:15:00,0,0,0
2025-02-07 00:20:00,0,0,0
2025-02-07 00:25:00,0,0,0
2025-02-07 00:30:00,0,0,0
2025-02-07 00:35:00,0,0,0
2025-02-07 00:40:00,0,0,0
2025-02-07 00:45:00,0,0,0
2025-02-07 00:50:00,0,0,0
2025-02-07 00:55:00,0,0,0
2025-02-07 01:00:00,0,0,0
2025-02-07 01:05:00,0,0,0
2025-02-07 01:10:00,0,0,0
2025-02-07 01:15:00,0,0,0
2025-02-07 01:20:00,0,0,0
2025-02-07 01:25:00,0,0,0
2025-02-07 01:30:00,0,0,0
2025-02-07 01:35:00,0,0,0
2025-02-07 01:40:00,0,0,0
2025-02-07 01:45:00,0,0,0
2025-02-07 01:50:00,0,0,0
2025-02-07 01:55:00,0,0,0
2025-02-07 02:00:00,0,0,0
2025-02-07 02:05:00,0,0,0
2025-02-07 02:10:00,0,0,0
2025-02-07 02:15:00,0,0,0
2025-02-07 02:20:00,0,0,0
2025-02-07 02:25:00,0,0,0
2025-02-07 02:30:00,0,0,0
2025-02-07 02:35:00,0,0,0
2025-02-07 02:40:00,0,0,0
2025-02-07 02:45:00,0,0,0
2025-02-07 02:50:00,0,0,0
2025-02-07 02:55:00,0,0,0
2025-02-07 03:00:00,0,0,0
2025-02-07 03:05:00,0,0,0
2025-02-07 03:10:00,0,0,0
2025-02-07 03:15:00,0,0,0
2025-02-07 03:20:00,0,0,0
2025-02-07 03:25:00,0,0,0
2025-02-07 03:30:00,0,0,0
2025-02-07 03:35:00,0,0,0
2025-02-07 03:40:00,0,0,0
2025-02-07 03:45:00,0,0,0
2025-02-07 03:50:00,0,0,0
2025-02-07 03:55:00,0,0,0
2025-02-07 04:00:00,0,0,0
2025-02-07 04:05:00,0,0,0
2025-02-07 04:10:00,0,0,0
2025-02-07 04:15:00,0,0,0
2025-02-07 04:20:00,0,0,0
2025-02-07 04:25:00,0,0,0
2025-02-07 04:30:00,0,0,0
2025-02-07 04:35:00,0,0,0
2025-02-07 04:40:00,0,0,0
2025-02-07 04:45:00,0,0,0
2025-02-07 04:50:00,0,0,0
2025-02-07 04:55:00,0,0,0
2025-02-07 05:00:00,0,0,0
2025-02-07 05:05:00,0,0,0
2025-02-07 05:10:00,0,0,0
2025-02-07 05:15:00,0,0,0
2025-02-07 05:20:00,0,0,0
2025-02-07 05:25:00,0,0,0
2025-02-07 05:30:00,0,0,0
2025-02-07 05:35:00,0,0,0
2025-02-07 05:40:00,0,0,0
2025-02-07 05:45:00,0,0,0
2025-02-07 05:50:00,0,0,0
2025-02-07 05:55:00,0,0,0
2025-02-07 06:00:00,0,0,0
2025-02-07 06:05:00,0,0,0
2025-02-07 06:10:00,0,0,0
2025-02-07 06:15:00,0,0,0
2025-02-07 06:20:00,0,0,0
2025-02-07 06:25:00,0,0,0
2025-02-07 06:30:00,0,0,0
2025-02-07 06:35:00,0,0,0
2025-02-07 06:40:00,0,0,0
2025-02-07 06:45:00,0,0,0
2025-02-07 06:50:00,0,0,0
2025-02-07 06:55:00,0,0,0
2025-02-07 07:00:00,0,0,0
2025-02-07 07:05:00,0,0,0
2025-02-07 07:10:00,0,0,0
2025-02-07 07:15:00,0,0,0
2025-02-07 07:20:00,0,0,0
2025-02-07 07:25:00,0,0,0
2025-02-07 07:30:00,0,0,0
2025-02-07 07:35:00,0,0,0
2025-02-07 07:40:00,0,0,0
2025-02-07 07:45:00,0,0,0
2025-02-07 07:50:00,306,5,311
2025-02-07 07:55:00,330,5,335
2025-02-07 08:00:00,435,8,443
2025-02-07 08:05:00,544,11,555
2025-02-07 08:10:00,686,14,700
2025-02-07 08:15:00,867,19,886
2025-02-07 08:20:00,1079,25,1104
2025-02-07 08:25:00,1079,25,1104
2025-02-07 08:30:00,1564,37,1601
2025-02-07 08:35:00,1992,48,2040
2025-02-07 08:40:00,2291,56,2347
2025-02-07 08:45:00,2291,56,2347
2025-02-07 08:50:00,2291,56,2347
2025-02-07 08:55:00,2291,56,2347
2025-02-07 09:00:00,2291,56,2347
2025-02-07 09:05:00,2291,56,2347
2025-02-07 09:10:00,2291,56,2347
2025-02-07 09:15:00,2291,56,2347
2025-02-07 09:20:00,--,--,0
2025-02-07 09:25:00,--,--,0
2025-02-07 09:30:00,--,--,0
2025-02-07 09:35:00,--,--,0
2025-02-07 09:40:00,9572,240,9812
2025-02-07 09:45:00,9572,240,9812
2025-02-07 09:50:00,10047,252,10299
2025-02-07 09:55:00,11590,293,11883
2025-02-07 10:00:00,15439,387,15826
2025-02-07 10:05:00,18900,478,19378
2025-02-07 10:10:00,36977,935,37912
2025-02-07 10:15:00,35969,908,36877
2025-02-07 10:20:00,35377,892,36269
2025-02-07 10:25:00,34941,881,35822
2025-02-07 10:30:00,34026,858,34884
2025-02-07 10:35:00,34141,861,35002
2025-02-07 10:40:00,34682,874,35556
2025-02-07 10:45:00,33605,848,34453
2025-02-07 10:50:00,36133,912,37045
2025-02-07 10:55:00,36285,916,37201
2025-02-07 11:00:00,36285,916,37201
2025-02-07 11:05:00,36981,933,37914
2025-02-07 11:10:00,36981,933,37914
2025-02-07 11:15:00,36981,933,37914
2025-02-07 11:20:00,36981,933,37914
2025-02-07 11:25:00,39040,985,40025
2025-02-07 11:30:00,39802,1005,40807
2025-02-07 11:35:00,39723,1003,40726
2025-02-07 11:40:00,38905,984,39889
2025-02-07 11:45:00,39018,984,40002
2025-02-07 11:50:00,39161,988,40149
2025-02-07 11:55:00,39426,998,40424
2025-02-07 12:00:00,39735,1003,40738
2025-02-07 12:05:00,39806,1005,40811
2025-02-07 12:10:00,38789,979,39768
2025-02-07 12:15:00,38627,975,39602
2025-02-07 12:20:00,38808,979,39787
2025-02-07 12:25:00,38249,965,39214
2025-02-07 12:30:00,37381,943,38324
2025-02-07 12:35:00,38781,977,39758
2025-02-07 12:40:00,39425,995,40420
2025-02-07 12:45:00,39328,993,40321
2025-02-07 12:50:00,39833,1005,40838
2025-02-07 12:55:00,35714,901,36615
2025-02-07 13:00:00,32452,821,33273
2025-02-07 13:05:00,39995,1009,41004
2025-02-07 13:10:00,41819,1055,42874
2025-02-07 13:15:00,44161,1108,45269
2025-02-07 13:20:00,39222,990,40212
2025-02-07 13:25:00,39959,1010,40969
2025-02-07 13:30:00,32950,833,33783
2025-02-07 13:35:00,37266,934,38200
2025-02-07 13:40:00,38775,930,39705
