Time,PV(W),Grid(W),Load(W)
2025-02-02 00:00:00,0,0,0
2025-02-02 00:05:00,0,0,0
2025-02-02 00:10:00,0,0,0
2025-02-02 00:15:00,0,0,0
2025-02-02 00:20:00,0,0,0
2025-02-02 00:25:00,0,0,0
2025-02-02 00:30:00,0,0,0
2025-02-02 00:35:00,0,0,0
2025-02-02 00:40:00,0,0,0
2025-02-02 00:45:00,0,0,0
2025-02-02 00:50:00,0,0,0
2025-02-02 00:55:00,0,0,0
2025-02-02 01:00:00,0,0,0
2025-02-02 01:05:00,0,0,0
2025-02-02 01:10:00,0,0,0
2025-02-02 01:15:00,0,0,0
2025-02-02 01:20:00,0,0,0
2025-02-02 01:25:00,0,0,0
2025-02-02 01:30:00,0,0,0
2025-02-02 01:35:00,0,0,0
2025-02-02 01:40:00,0,0,0
2025-02-02 01:45:00,0,0,0
2025-02-02 01:50:00,0,0,0
2025-02-02 01:55:00,0,0,0
2025-02-02 02:00:00,0,0,0
2025-02-02 02:05:00,0,0,0
2025-02-02 02:10:00,0,0,0
2025-02-02 02:15:00,0,0,0
2025-02-02 02:20:00,0,0,0
2025-02-02 02:25:00,0,0,0
2025-02-02 02:30:00,0,0,0
2025-02-02 02:35:00,0,0,0
2025-02-02 02:40:00,0,0,0
2025-02-02 02:45:00,0,0,0
2025-02-02 02:50:00,0,0,0
2025-02-02 02:55:00,0,0,0
2025-02-02 03:00:00,0,0,0
2025-02-02 03:05:00,0,0,0
2025-02-02 03:10:00,0,0,0
2025-02-02 03:15:00,0,0,0
2025-02-02 03:20:00,0,0,0
2025-02-02 03:25:00,0,0,0
2025-02-02 03:30:00,0,0,0
2025-02-02 03:35:00,0,0,0
2025-02-02 03:40:00,0,0,0
2025-02-02 03:45:00,0,0,0
2025-02-02 03:50:00,0,0,0
2025-02-02 03:55:00,0,0,0
2025-02-02 04:00:00,0,0,0
2025-02-02 04:05:00,0,0,0
2025-02-02 04:10:00,0,0,0
2025-02-02 04:15:00,0,0,0
2025-02-02 04:20:00,0,0,0
2025-02-02 04:25:00,0,0,0
2025-02-02 04:30:00,0,0,0
2025-02-02 04:35:00,0,0,0
2025-02-02 04:40:00,0,0,0
2025-02-02 04:45:00,0,0,0
2025-02-02 04:50:00,0,0,0
2025-02-02 04:55:00,0,0,0
2025-02-02 05:00:00,0,0,0
2025-02-02 05:05:00,0,0,0
2025-02-02 05:10:00,0,0,0
2025-02-02 05:15:00,0,0,0
2025-02-02 05:20:00,0,0,0
2025-02-02 05:25:00,0,0,0
2025-02-02 05:30:00,0,0,0
2025-02-02 05:35:00,0,0,0
2025-02-02 05:40:00,0,0,0
2025-02-02 05:45:00,0,0,0
2025-02-02 05:50:00,0,0,0
2025-02-02 05:55:00,0,0,0
2025-02-02 06:00:00,0,0,0
2025-02-02 06:05:00,0,0,0
2025-02-02 06:10:00,0,0,0
2025-02-02 06:15:00,0,0,0
2025-02-02 06:20:00,0,0,0
2025-02-02 06:25:00,0,0,0
2025-02-02 06:30:00,0,0,0
2025-02-02 06:35:00,0,0,0
2025-02-02 06:40:00,0,0,0
2025-02-02 06:45:00,0,0,0
2025-02-02 06:50:00,0,0,0
2025-02-02 06:55:00,0,0,0
2025-02-02 07:00:00,0,0,0
2025-02-02 07:05:00,0,0,0
2025-02-02 07:10:00,0,0,0
2025-02-02 07:15:00,0,0,0
2025-02-02 07:20:00,0,0,0
2025-02-02 07:25:00,0,0,0
2025-02-02 07:30:00,0,0,0
2025-02-02 07:35:00,0,0,0
2025-02-02 07:40:00,0,0,0
2025-02-02 07:45:00,0,0,0
2025-02-02 07:50:00,342,6,348
2025-02-02 07:55:00,514,10,524
2025-02-02 08:00:00,908,20,928
2025-02-02 08:05:00,1441,34,1475
2025-02-02 08:10:00,2089,52,2141
2025-02-02 08:15:00,3096,77,3173
2025-02-02 08:20:00,7645,190,7835
2025-02-02 08:25:00,12021,305,12326
2025-02-02 08:30:00,15164,383,15547
2025-02-02 08:35:00,11771,298,12069
2025-02-02 08:40:00,13694,340,14034
2025-02-02 08:45:00,10977,273,11250
2025-02-02 08:50:00,9606,243,9849
2025-02-02 08:55:00,10346,260,10606
2025-02-02 09:00:00,10601,266,10867
2025-02-02 09:05:00,10387,261,10648
2025-02-02 09:10:00,9682,243,9925
2025-02-02 09:15:00,8393,210,8603
2025-02-02 09:20:00,7499,188,7687
2025-02-02 09:25:00,6460,161,6621
2025-02-02 09:30:00,6004,150,6154
2025-02-02 09:35:00,6468,161,6629
2025-02-02 09:40:00,6996,175,7171
2025-02-02 09:45:00,8269,207,8476
2025-02-02 09:50:00,11006,277,11283
2025-02-02 09:55:00,15855,399,16254
2025-02-02 10:00:00,32239,818,33057
2025-02-02 10:05:00,17392,440,17832
2025-02-02 10:10:00,15801,398,16199
2025-02-02 10:15:00,13813,349,14162
2025-02-02 10:20:00,13970,352,14322
2025-02-02 10:25:00,16000,404,16404
2025-02-02 10:30:00,16563,419,16982
2025-02-02 10:35:00,17899,453,18352
2025-02-02 10:40:00,19725,499,20224
2025-02-02 10:45:00,27934,706,28640
2025-02-02 10:50:00,23239,582,23821
2025-02-02 10:55:00,18928,478,19406
2025-02-02 11:00:00,18590,470,19060
2025-02-02 11:05:00,22280,565,22845
2025-02-02 11:10:00,20811,526,21337
2025-02-02 11:15:00,18889,477,19366
