Time,PV(W)
2024-12-14 00:00:00,0
2024-12-14 00:05:00,0
2024-12-14 00:10:00,0
2024-12-14 00:15:00,0
2024-12-14 00:20:00,0
2024-12-14 00:25:00,0
2024-12-14 00:30:00,0
2024-12-14 00:35:00,0
2024-12-14 00:40:00,0
2024-12-14 00:45:00,0
2024-12-14 00:50:00,0
2024-12-14 00:55:00,0
2024-12-14 01:00:00,0
2024-12-14 01:05:00,0
2024-12-14 01:10:00,0
2024-12-14 01:15:00,0
2024-12-14 01:20:00,0
2024-12-14 01:25:00,0
2024-12-14 01:30:00,0
2024-12-14 01:35:00,0
2024-12-14 01:40:00,0
2024-12-14 01:45:00,0
2024-12-14 01:50:00,0
2024-12-14 01:55:00,0
2024-12-14 02:00:00,0
2024-12-14 02:05:00,0
2024-12-14 02:10:00,0
2024-12-14 02:15:00,0
2024-12-14 02:20:00,0
2024-12-14 02:25:00,0
2024-12-14 02:30:00,0
2024-12-14 02:35:00,0
2024-12-14 02:40:00,0
2024-12-14 02:45:00,0
2024-12-14 02:50:00,0
2024-12-14 02:55:00,0
2024-12-14 03:00:00,0
2024-12-14 03:05:00,0
2024-12-14 03:10:00,0
2024-12-14 03:15:00,0
2024-12-14 03:20:00,0
2024-12-14 03:25:00,0
2024-12-14 03:30:00,0
2024-12-14 03:35:00,0
2024-12-14 03:40:00,0
2024-12-14 03:45:00,0
2024-12-14 03:50:00,0
2024-12-14 03:55:00,0
2024-12-14 04:00:00,0
2024-12-14 04:05:00,0
2024-12-14 04:10:00,0
2024-12-14 04:15:00,0
2024-12-14 04:20:00,0
2024-12-14 04:25:00,0
2024-12-14 04:30:00,0
2024-12-14 04:35:00,0
2024-12-14 04:40:00,0
2024-12-14 04:45:00,0
2024-12-14 04:50:00,0
2024-12-14 04:55:00,0
2024-12-14 05:00:00,0
2024-12-14 05:05:00,0
2024-12-14 05:10:00,0
2024-12-14 05:15:00,0
2024-12-14 05:20:00,0
2024-12-14 05:25:00,0
2024-12-14 05:30:00,0
2024-12-14 05:35:00,0
2024-12-14 05:40:00,0
2024-12-14 05:45:00,0
2024-12-14 05:50:00,0
2024-12-14 05:55:00,0
2024-12-14 06:00:00,0
2024-12-14 06:05:00,0
2024-12-14 06:10:00,0
2024-12-14 06:15:00,0
2024-12-14 06:20:00,0
2024-12-14 06:25:00,0
2024-12-14 06:30:00,0
2024-12-14 06:35:00,0
2024-12-14 06:40:00,0
2024-12-14 06:45:00,0
2024-12-14 06:50:00,0
2024-12-14 06:55:00,0
2024-12-14 07:00:00,0
2024-12-14 07:05:00,0
2024-12-14 07:10:00,0
2024-12-14 07:15:00,0
2024-12-14 07:20:00,0
2024-12-14 07:25:00,0
2024-12-14 07:30:00,851
2024-12-14 07:35:00,1204
2024-12-14 07:40:00,1716
2024-12-14 07:45:00,2184
2024-12-14 07:50:00,2625
2024-12-14 07:55:00,3033
2024-12-14 08:00:00,3388
2024-12-14 08:05:00,3962
2024-12-14 08:10:00,4812
2024-12-14 08:15:00,6702
2024-12-14 08:20:00,6793
2024-12-14 08:25:00,6970
2024-12-14 08:30:00,8307
2024-12-14 08:35:00,10795
2024-12-14 08:40:00,10075
2024-12-14 08:45:00,9445
2024-12-14 08:50:00,10047
2024-12-14 08:55:00,13638
2024-12-14 09:00:00,18156
2024-12-14 09:05:00,15026
2024-12-14 09:10:00,19188
2024-12-14 09:15:00,11896
2024-12-14 09:20:00,13892
2024-12-14 09:25:00,21086
2024-12-14 09:30:00,20861
2024-12-14 09:35:00,21515
2024-12-14 09:40:00,23289
2024-12-14 09:45:00,16109
2024-12-14 09:50:00,22962
2024-12-14 09:55:00,0
2024-12-14 10:00:00,0
2024-12-14 10:05:00,14573
2024-12-14 10:10:00,20230
2024-12-14 10:15:00,17803
2024-12-14 10:20:00,21386
2024-12-14 10:25:00,20092
2024-12-14 10:30:00,19677
2024-12-14 10:35:00,23438
2024-12-14 10:40:00,23762
2024-12-14 10:45:00,25682
2024-12-14 10:50:00,4714
2024-12-14 10:55:00,26525
2024-12-14 11:00:00,27234
2024-12-14 11:05:00,28258
2024-12-14 11:10:00,24021
2024-12-14 11:15:00,23797
2024-12-14 11:20:00,10254
