Time,PV(W),Grid(W),Load(W)
2025-02-09 00:00:00,0,0,0
2025-02-09 00:05:00,--,--,0
2025-02-09 00:10:00,--,--,0
2025-02-09 00:15:00,0,0,0
2025-02-09 00:20:00,0,0,0
2025-02-09 00:25:00,0,0,0
2025-02-09 00:30:00,0,0,0
2025-02-09 00:35:00,0,0,0
2025-02-09 00:40:00,0,0,0
2025-02-09 00:45:00,0,0,0
2025-02-09 00:50:00,0,0,0
2025-02-09 00:55:00,0,0,0
2025-02-09 01:00:00,0,0,0
2025-02-09 01:05:00,0,0,0
2025-02-09 01:10:00,0,0,0
2025-02-09 01:15:00,0,0,0
2025-02-09 01:20:00,0,0,0
2025-02-09 01:25:00,0,0,0
2025-02-09 01:30:00,0,0,0
2025-02-09 01:35:00,0,0,0
2025-02-09 01:40:00,0,0,0
2025-02-09 01:45:00,0,0,0
2025-02-09 01:50:00,0,0,0
2025-02-09 01:55:00,0,0,0
2025-02-09 02:00:00,0,0,0
2025-02-09 02:05:00,0,0,0
2025-02-09 02:10:00,0,0,0
2025-02-09 02:15:00,0,0,0
2025-02-09 02:20:00,0,0,0
2025-02-09 02:25:00,0,0,0
2025-02-09 02:30:00,0,0,0
2025-02-09 02:35:00,0,0,0
2025-02-09 02:40:00,0,0,0
2025-02-09 02:45:00,0,0,0
2025-02-09 02:50:00,0,0,0
2025-02-09 02:55:00,0,0,0
2025-02-09 03:00:00,0,0,0
2025-02-09 03:05:00,0,0,0
2025-02-09 03:10:00,0,0,0
2025-02-09 03:15:00,0,0,0
2025-02-09 03:20:00,0,0,0
2025-02-09 03:25:00,0,0,0
2025-02-09 03:30:00,0,0,0
2025-02-09 03:35:00,0,0,0
2025-02-09 03:40:00,0,0,0
2025-02-09 03:45:00,0,0,0
2025-02-09 03:50:00,0,0,0
2025-02-09 03:55:00,0,0,0
2025-02-09 04:00:00,0,0,0
2025-02-09 04:05:00,0,0,0
2025-02-09 04:10:00,0,0,0
2025-02-09 04:15:00,0,0,0
2025-02-09 04:20:00,0,0,0
2025-02-09 04:25:00,0,0,0
2025-02-09 04:30:00,0,0,0
2025-02-09 04:35:00,0,0,0
2025-02-09 04:40:00,0,0,0
2025-02-09 04:45:00,0,0,0
2025-02-09 04:50:00,0,0,0
2025-02-09 04:55:00,0,0,0
2025-02-09 05:00:00,0,0,0
2025-02-09 05:05:00,0,0,0
2025-02-09 05:10:00,0,0,0
2025-02-09 05:15:00,0,0,0
2025-02-09 05:20:00,0,0,0
2025-02-09 05:25:00,0,0,0
2025-02-09 05:30:00,0,0,0
2025-02-09 05:35:00,0,0,0
2025-02-09 05:40:00,0,0,0
2025-02-09 05:45:00,0,0,0
2025-02-09 05:50:00,0,0,0
2025-02-09 05:55:00,0,0,0
2025-02-09 06:00:00,0,0,0
2025-02-09 06:05:00,0,0,0
2025-02-09 06:10:00,0,0,0
2025-02-09 06:15:00,0,0,0
2025-02-09 06:20:00,0,0,0
2025-02-09 06:25:00,0,0,0
2025-02-09 06:30:00,0,0,0
2025-02-09 06:35:00,0,0,0
2025-02-09 06:40:00,0,0,0
2025-02-09 06:45:00,0,0,0
2025-02-09 06:50:00,0,0,0
2025-02-09 06:55:00,0,0,0
2025-02-09 07:00:00,0,0,0
2025-02-09 07:05:00,0,0,0
2025-02-09 07:10:00,0,0,0
2025-02-09 07:15:00,0,0,0
2025-02-09 07:20:00,0,0,0
2025-02-09 07:25:00,0,0,0
2025-02-09 07:30:00,0,0,0
2025-02-09 07:35:00,0,0,0
2025-02-09 07:40:00,0,0,0
2025-02-09 07:45:00,780,17,797
2025-02-09 07:50:00,1230,28,1258
2025-02-09 07:55:00,1792,44,1836
2025-02-09 08:00:00,2453,61,2514
2025-02-09 08:05:00,3118,79,3197
2025-02-09 08:10:00,3851,95,3946
2025-02-09 08:15:00,3942,97,4039
2025-02-09 08:20:00,4270,106,4376
2025-02-09 08:25:00,4663,116,4779
2025-02-09 08:30:00,4830,120,4950
2025-02-09 08:35:00,5012,125,5137
2025-02-09 08:40:00,5251,132,5383
2025-02-09 08:45:00,5710,142,5852
2025-02-09 08:50:00,6264,156,6420
2025-02-09 08:55:00,6835,171,7006
2025-02-09 09:00:00,8278,207,8485
2025-02-09 09:05:00,11233,282,11515
2025-02-09 09:10:00,14333,360,14693
2025-02-09 09:15:00,12978,327,13305
2025-02-09 09:20:00,18086,456,18542
2025-02-09 09:25:00,15492,389,15881
2025-02-09 09:30:00,17145,431,17576
2025-02-09 09:35:00,18006,453,18459
2025-02-09 09:40:00,20772,522,21294
2025-02-09 09:45:00,20568,519,21087
2025-02-09 09:50:00,20669,521,21190
2025-02-09 09:55:00,23604,595,24199
2025-02-09 10:00:00,25074,632,25706
2025-02-09 10:05:00,27284,688,27972
2025-02-09 10:10:00,25055,631,25686
2025-02-09 10:15:00,15080,381,15461
2025-02-09 10:20:00,23077,581,23658
2025-02-09 10:25:00,22060,556,22616
2025-02-09 10:30:00,20216,511,20727
2025-02-09 10:35:00,21450,540,21990
2025-02-09 10:40:00,25671,646,26317
2025-02-09 10:45:00,27069,683,27752
2025-02-09 10:50:00,23702,598,24300
2025-02-09 10:55:00,20038,505,20543
2025-02-09 11:00:00,21100,531,21631
2025-02-09 11:05:00,30377,769,31146
2025-02-09 11:10:00,23784,602,24386
2025-02-09 11:15:00,21566,544,22110
2025-02-09 11:20:00,16283,410,16693
2025-02-09 11:25:00,18112,458,18570
2025-02-09 11:30:00,13649,345,13994
2025-02-09 11:35:00,14344,363,14707
2025-02-09 11:40:00,13420,339,13759
2025-02-09 11:45:00,14061,356,14417
2025-02-09 11:50:00,13976,353,14329
2025-02-09 11:55:00,14611,367,14978
2025-02-09 12:00:00,14583,367,14950
2025-02-09 12:05:00,13647,343,13990
2025-02-09 12:10:00,15072,380,15452
2025-02-09 12:15:00,15341,386,15727
2025-02-09 12:20:00,16486,417,16903
2025-02-09 12:25:00,18829,477,19306
2025-02-09 12:30:00,23524,592,24116
2025-02-09 12:35:00,22680,573,23253
2025-02-09 12:40:00,44446,1142,45588
2025-02-09 12:45:00,37520,952,38472
2025-02-09 12:50:00,44147,1113,45260
2025-02-09 12:55:00,44161,1113,45274
2025-02-09 13:00:00,33034,835,33869
2025-02-09 13:05:00,30557,771,31328
2025-02-09 13:10:00,42067,1065,43132
2025-02-09 13:15:00,26060,657,26717
2025-02-09 13:20:00,26355,671,27026
2025-02-09 13:25:00,23445,590,24035
2025-02-09 13:30:00,28809,736,29545
2025-02-09 13:35:00,21695,547,22242
2025-02-09 13:40:00,22292,561,22853
2025-02-09 13:45:00,24925,630,25555
2025-02-09 13:50:00,31211,788,31999
2025-02-09 13:55:00,20491,518,21009
2025-02-09 14:00:00,29867,752,30619
2025-02-09 14:05:00,26517,669,27186
2025-02-09 14:10:00,24696,624,25320
2025-02-09 14:15:00,23396,590,23986
2025-02-09 14:20:00,24535,618,25153
2025-02-09 14:25:00,28447,727,29174
2025-02-09 14:30:00,44075,1113,45188
2025-02-09 14:35:00,27452,693,28145
2025-02-09 14:40:00,17973,452,18425
2025-02-09 14:45:00,18843,474,19317
2025-02-09 14:50:00,22739,574,23313
2025-02-09 14:55:00,28255,710,28965
2025-02-09 15:00:00,17790,447,18237
2025-02-09 15:05:00,18160,457,18617
2025-02-09 15:10:00,15431,389,15820
2025-02-09 15:15:00,17929,451,18380
2025-02-09 15:20:00,12533,316,12849
2025-02-09 15:25:00,8294,210,8504
2025-02-09 15:30:00,6818,172,6990
2025-02-09 15:35:00,5867,147,6014
2025-02-09 15:40:00,5646,142,5788
2025-02-09 15:45:00,5044,127,5171
2025-02-09 15:50:00,5143,129,5272
2025-02-09 15:55:00,5686,143,5829
2025-02-09 16:00:00,5707,144,5851
2025-02-09 16:05:00,6164,155,6319
2025-02-09 16:10:00,6573,166,6739
2025-02-09 16:15:00,7356,185,7541
2025-02-09 16:20:00,6769,170,6939
2025-02-09 16:25:00,5426,136,5562
2025-02-09 16:30:00,4357,109,4466
2025-02-09 16:35:00,3956,98,4054
2025-02-09 16:40:00,4278,106,4384
2025-02-09 16:45:00,4496,112,4608
